Commune,CCAS identifié,Adresse CCAS,Mail CCAS,Telephone CCAS,UTS ,Adresse UTS,Téléphone UTS,CLIC,SAAD,,
PROVENCE VERTE,,,,,,,,,,,
Artigues,Centre Communal d'Action Sociale La Verdière (CCAS),Mairie de la Verdière 6 Place de la Mairie 83560 La Verdière,mairiedelaverdiere@orange.fr, 04 94 04 12 10  ,UTS Haut Var Verdon - RIANS,Rue Jules Ferry  83 560 Rians,04 83 95 19 70,pas de CLIC,pas de SAAD,,
Barjols,Centre Communal d'Action Sociale Barjols (CCAS),Hôtel de Ville Place Capitaine Vincens 83670 Barjols,ccas@barjols.fr,04 94 72 63 10 ,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,2 SAAD dans cette commune,,
Bras,Centre Communal d'Action Sociale Mairie de Bras (CCAS),Pôle Culturel et Social 177 Route de Brignoles 83149 Bras,ccas@mairie-bras.fr,06 14 33 3209  ,UTS Provence Verte - BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,CLIC Provence Verte,pas de SAAD,,
Brignoles,Centre Communal d'Action Sociale de Brignoles (CCAS),Maison des Services Publics 2 rue de l’Hôpital 83170 Brignoles,ccas@brignoles.fr,04 98 05 93 82  ,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,4 SAAD dans cette commune,,
Bru Auriac,Centre Communal d'Action Sociale de Brue-Auriac (CCAS),Mairie Brue-Auriac 83119 Cours Roux-de-Corse 83119 Brue-Auriac,accueil@brue-auriac.fr ou beatrice.reina@live.fr,04 98 05 26 26 ,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,pas de SAAD,,
Cabasse,Centre Communal d'Action Sociale de Cabasse (CCAS),Place de la République 83340 Cabasse,mairie.cabasse@orange.fr,04 98 05 12 80,UTS Cœur du Var - LE LUC ,Quartier Précoumin route de Toulon  83 340 Le Luc,04 83 95 19 00,pas de CLIC,pas de SAAD,,
Camps la Source,Centre Communal d'Action Sociale de Camps-la-Source (CCAS),1 Place de la Mairie 83170 Camps-la-Source,mairie.camps.la.source@wanadoo.fr,04 94 80 83 59 / 06 74 83 16 21 ,UTS Provence Verte - BRIGNOLES,Rond point Mireille rue du docteur Barbaroux 83170 Brignoles,04 83 95 42 30,CLIC Provence Verte,pas de SAAD,,
Carcès,Centre Communal d'Action Sociale de Carcès (CCAS),31 rue Maréchal Foch 83570 Carces,social@mairie-carces.fr,04 94 59 00 62,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,CLIC Provence Verte,pas de SAAD,,
Châteauvert,la commune n'a pas de CCAS ,,,,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,CLIC Provence Verte,pas de SAAD,,
Correns,Centre Communal d'Action Sociale de Correns (CCAS),5 Place Général de Gaulle 83570 Correns,ccas@correns.fr,04 94 37 21 95,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,CLIC Provence Verte,pas de SAAD,,
Cotignac,Centre Communal d'Action Sociale Cotignac (CCAS),Hôtel de Ville 1 Place de la Mairie 83570 Cotignac,ccas@mairiecotignac.fr,04 94 72 60 20,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,CLIC Provence Verte,pas de SAAD,,
Entrecasteaux,la commune n'a pas de CCAS ,,"urba@entrecasteaux.fr (VIDAL Aline ,Responsable urbanisme état civil)",,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,CLIC Provence Verte,pas de SAAD,,
Esparron ,Centre Communal d'Action Sociale Esparron  (CCAS),Place de l'Eglise 83560 Esparron,ccasesparron@gmail.cometmairie@esparron.fr,04 94 80 60 26 ,UTS Provence Verte -  BARJOLS,Ancien collège Avenue de Garessio 83670 Barjols,04 83 95 41 60,pas de CLIC,pas de SAAD,,
